PWM,RPM
5.00,0.00
10.00,0.00
15.00,0.00
20.00,0.00
25.00,0.00
30.00,0.00
35.00,0.00
40.00,0.00
45.00,0.00
50.00,15.91
55.00,52.27
60.00,85.23
65.00,121.59
70.00,154.55
75.00,187.50
80.00,215.91
85.00,243.18
90.00,268.18
95.00,288.64
100.00,307.95
105.00,325.00
110.00,339.77
115.00,353.41
120.00,365.91
125.00,376.14
130.00,386.36
135.00,396.59
140.00,404.55
145.00,411.36
150.00,418.18
155.00,426.14
160.00,431.82
165.00,437.50
170.00,442.05
175.00,447.73
180.00,451.14
185.00,456.82
190.00,459.09
195.00,463.64
200.00,465.91
205.00,470.45
210.00,472.73
215.00,475.00
220.00,477.27
225.00,480.68
230.00,482.95
235.00,486.36
240.00,488.64
245.00,488.64
250.00,493.18
255.00,496.59
260.00,511.36